# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE260926|other_multiomics|Homo sapiens|5|GSE260926_RAW.tar(4.4GB)|development,epigenetics,aging,skeletal_muscle|scMultiome-seq and single-cell spatial HD data for the developing human knee|Cartilage plays crucial skeletal development abnormal contributes genetic age-related disease Compromises integrity joint-lining articular particular lead debilitating chronic degenerative diseases|multiomics
GSE311045|other_multiomics|Homo sapiens|8|GSE311045_atac_fragments.tsv.gz(2.5GB), GSE311045_atac_fragments.tsv.gz.tbi.gz(1MB), GSE311045_atac_peak_annotation.tsv.gz(2MB), GSE311045_atac_peaks.bed.gz(1MB), GSE311045_features.tsv.gz(3MB), GSE311045_filtered_feature_bc_matrix.h5(267MB), GSE311045_matrix.mtx.gz(658MB)|immunology,development,epigenetics,skeletal_muscle,gene_regulation|A conserved transcriptional backbone and rewiring of gene-regulatory networks in activated human CD4⁺ T cells|components adaptive immune system plethora subtype-specific order further dissect activation differentiation program individual subsets vitro primary naive towards Th1 Th2 Th17 Treg subtypes followed|multiomics
GSE295899|other_multiomics|Mus musculus|8|GSE295899_Bdev_aggregation.csv.gz(273B), GSE295899_Bdev_atac_fragments.tsv.gz(4.0GB), GSE295899_Bdev_atac_fragments.tsv.gz.tbi.gz(1MB), GSE295899_Bdev_filtered_feature_bc_matrix.h5(400MB), GSE295899_CD19_per_barcode_metrics.csv.gz(17MB), GSE295899_FLT3_per_barcode_metrics.csv.gz(17MB), GSE295899_IL7RA_per_barcode_metrics.csv.gz(18MB), GSE295899_LSK_per_barcode_metrics.csv.gz(19MB), GSE295899_RAW.tar(4.8GB)|immunology,development,epigenetics,skeletal_muscle,hematopoiesis,gene_regulation|EBF1 and PAX5 exert dose dependent epigenetic repression of T-lineage potential [scMultiome]|B-lymphocyte development coordinated action transcription factors controlling expression stage specific genes better understand regulation changes landscape early B-cell conducted combined|multiomics
GSE279576|spatial_multiomics|Homo sapiens|6|[GEO:H5, TAR]|cancer,immunology,development,skeletal_muscle,hematopoiesis,signal_transduction|Integrative Spatial Multi-Omics Reveal Niche-Specific Inflammatory Signaling and Differentiation Hierarchies in Acute Myeloid Leukemia|AML clonal disorder characterized immature blasts arrested primarily affects bone marrow occasionally presents extramedullary disease manifestations highlight adaptability distinct microenvironments|multiomics
GSE303868|cite_seq|Homo sapiens|36|GSE303868_feature_reference.csv.gz(3KB), GSE303868_RAW.tar(1.2GB)|cancer,immunology,development,aging,hematopoiesis,microbiology,cell_cycle|A tumor-associated macrophage-targeted immunocytokine leveraging T and NK cell synergy for potent cancer immunotherapy [CITE-seq]|macrophages TAMs expressing myeloid checkpoint TREM2 key immunosuppressive cells microenvironment TME driving progression contributing poor prognosis patients Due pivotal emerged promising|multiomics
GSE272082|other_multiomics|Homo sapiens|42|GSE272082_RAW.tar(35.5GB)|neuroscience,microbiology,cell_stress,gene_regulation,signal_transduction|Single-nucleus multiomics reveals the regulatory programs in three brain regions of sporadic early-onset Alzheimer's Disease|sEOAD represents less-studied subtype generated multiome atlas over 000 nuclei derived postmortem prefrontal cortex entorhinal hippocampus four patients five control donors Comprehensive analyses|multiomics
GSE275831|other_multiomics|Arabidopsis thaliana|54|GSE275831_Col_1_RNAseq_count_matrix.txt.gz(6MB), GSE275831_Col_2_RNAseq_count_matrix.txt.gz(6MB), GSE275831_Col_3_RNAseq_count_matrix.txt.gz(4MB), GSE275831_feature_README.txt(9KB), GSE275831_mbd56_1_RNAseq_count_matrix.txt.gz(6MB), GSE275831_mbd56_2_RNAseq_count_matrix.txt.gz(6MB), GSE275831_mbd56_3_RNAseq_count_matrix.txt.gz(4MB), GSE275831_mbd567_3_RNAseq_count_matrix.txt.gz(4MB), GSE275831_mbd7_3_RNAseq_count_matrix.txt.gz(4MB), GSE275831_pseudobulk_Col_GN_CHGme.bed.gz(45MB), GSE275831_pseudobulk_Col_GN_CHHme.bed.gz(206MB), GSE275831_pseudobulk_Col_GN_CpGme.bed.gz(40MB), GSE275831_pseudobulk_Col_MN_CHGme.bed.gz(38MB), GSE275831_pseudobulk_Col_MN_CHHme.bed.gz(175MB), GSE275831_pseudobulk_Col_MN_CpGme.bed.gz(33MB), GSE275831_pseudobulk_Col_MNtoVN_CHGme.bed.gz(35MB), GSE275831_pseudobulk_Col_MNtoVN_CHHme.bed.gz(162MB), GSE275831_pseudobulk_Col_MNtoVN_CpGme.bed.gz(30MB), GSE275831_pseudobulk_Col_rep3_GN_CHGme.bed.gz(45MB), GSE275831_pseudobulk_Col_rep3_GN_CHHme.bed.gz(201MB), GSE275831_pseudobulk_Col_rep3_GN_CpGme.bed.gz(40MB), GSE275831_pseudobulk_Col_rep3_lateVN_CHGme.bed.gz(11MB), GSE275831_pseudobulk_Col_rep3_lateVN_CHHme.bed.gz(51MB), GSE275831_pseudobulk_Col_rep3_lateVN_CpGme.bed.gz(10MB), GSE275831_pseudobulk_Col_rep3_MN_CHGme.bed.gz(40MB), GSE275831_pseudobulk_Col_rep3_MN_CHHme.bed.gz(181MB), GSE275831_pseudobulk_Col_rep3_MN_CpGme.bed.gz(35MB), GSE275831_pseudobulk_Col_rep3_MNtoVN_CHGme.bed.gz(29MB), GSE275831_pseudobulk_Col_rep3_MNtoVN_CHHme.bed.gz(134MB), GSE275831_pseudobulk_Col_rep3_MNtoVN_CpGme.bed.gz(25MB), GSE275831_pseudobulk_Col_rep3_SN_CHGme.bed.gz(22MB), GSE275831_pseudobulk_Col_rep3_SN_CHHme.bed.gz(99MB), GSE275831_pseudobulk_Col_rep3_SN_CpGme.bed.gz(19MB), GSE275831_pseudobulk_Col_rep3_VN1_CHGme.bed.gz(27MB), GSE275831_pseudobulk_Col_rep3_VN1_CHHme.bed.gz(122MB), GSE275831_pseudobulk_Col_rep3_VN1_CpGme.bed.gz(23MB), GSE275831_pseudobulk_Col_rep3_VN1to2_CHGme.bed.gz(24MB), GSE275831_pseudobulk_Col_rep3_VN1to2_CHHme.bed.gz(111MB), GSE275831_pseudobulk_Col_rep3_VN1to2_CpGme.bed.gz(21MB), GSE275831_pseudobulk_Col_rep3_VN2_CHGme.bed.gz(28MB), GSE275831_pseudobulk_Col_rep3_VN2_CHHme.bed.gz(131MB), GSE275831_pseudobulk_Col_rep3_VN2_CpGme.bed.gz(25MB), GSE275831_pseudobulk_Col_rep3_VN3_CHGme.bed.gz(15MB), GSE275831_pseudobulk_Col_rep3_VN3_CHHme.bed.gz(70MB), GSE275831_pseudobulk_Col_rep3_VN3_CpGme.bed.gz(13MB), GSE275831_pseudobulk_Col_SN_CHGme.bed.gz(42MB), GSE275831_pseudobulk_Col_SN_CHHme.bed.gz(192MB), GSE275831_pseudobulk_Col_SN_CpGme.bed.gz(37MB), GSE275831_pseudobulk_Col_VN1_CHGme.bed.gz(30MB), GSE275831_pseudobulk_Col_VN1_CHHme.bed.gz(140MB), GSE275831_pseudobulk_Col_VN1_CpGme.bed.gz(26MB), GSE275831_pseudobulk_Col_VN1to2_CHGme.bed.gz(21MB), GSE275831_pseudobulk_Col_VN1to2_CHHme.bed.gz(96MB), GSE275831_pseudobulk_Col_VN1to2_CpGme.bed.gz(19MB), GSE275831_pseudobulk_Col_VN2_CHGme.bed.gz(26MB), GSE275831_pseudobulk_Col_VN2_CHHme.bed.gz(117MB), GSE275831_pseudobulk_Col_VN2_CpGme.bed.gz(22MB), GSE275831_pseudobulk_Col_VN3_CHGme.bed.gz(18MB), GSE275831_pseudobulk_Col_VN3_CHHme.bed.gz(78MB), GSE275831_pseudobulk_Col_VN3_CpGme.bed.gz(15MB), GSE275831_pseudobulk_Col_VN4_CHGme.bed.gz(19MB), GSE275831_pseudobulk_Col_VN4_CHHme.bed.gz(87MB), GSE275831_pseudobulk_Col_VN4_CpGme.bed.gz(17MB), GSE275831_pseudobulk_Col_VN5_CHGme.bed.gz(32MB), GSE275831_pseudobulk_Col_VN5_CHHme.bed.gz(150MB), GSE275831_pseudobulk_Col_VN5_CpGme.bed.gz(28MB), GSE275831_pseudobulk_mbd567_rep3_GN_CHGme.bed.gz(43MB), GSE275831_pseudobulk_mbd567_rep3_GN_CHHme.bed.gz(191MB), GSE275831_pseudobulk_mbd567_rep3_GN_CpGme.bed.gz(38MB), GSE275831_pseudobulk_mbd567_rep3_lateVN_CHGme.bed.gz(10MB), GSE275831_pseudobulk_mbd567_rep3_lateVN_CHHme.bed.gz(44MB), GSE275831_pseudobulk_mbd567_rep3_lateVN_CpGme.bed.gz(9MB), GSE275831_pseudobulk_mbd567_rep3_MN_CHGme.bed.gz(38MB), GSE275831_pseudobulk_mbd567_rep3_MN_CHHme.bed.gz(175MB), GSE275831_pseudobulk_mbd567_rep3_MN_CpGme.bed.gz(33MB), GSE275831_pseudobulk_mbd567_rep3_MNtoVN_CHGme.bed.gz(33MB), GSE275831_pseudobulk_mbd567_rep3_MNtoVN_CHHme.bed.gz(153MB), GSE275831_pseudobulk_mbd567_rep3_MNtoVN_CpGme.bed.gz(29MB), GSE275831_pseudobulk_mbd567_rep3_SN_CHGme.bed.gz(16MB), GSE275831_pseudobulk_mbd567_rep3_SN_CHHme.bed.gz(72MB), GSE275831_pseudobulk_mbd567_rep3_SN_CpGme.bed.gz(14MB), GSE275831_pseudobulk_mbd567_rep3_VN1_CHGme.bed.gz(29MB), GSE275831_pseudobulk_mbd567_rep3_VN1_CHHme.bed.gz(134MB), GSE275831_pseudobulk_mbd567_rep3_VN1_CpGme.bed.gz(25MB), GSE275831_pseudobulk_mbd567_rep3_VN1to2_CHGme.bed.gz(28MB), GSE275831_pseudobulk_mbd567_rep3_VN1to2_CHHme.bed.gz(130MB), GSE275831_pseudobulk_mbd567_rep3_VN1to2_CpGme.bed.gz(24MB), GSE275831_pseudobulk_mbd567_rep3_VN2_CHGme.bed.gz(29MB), GSE275831_pseudobulk_mbd567_rep3_VN2_CHHme.bed.gz(135MB), GSE275831_pseudobulk_mbd567_rep3_VN2_CpGme.bed.gz(25MB), GSE275831_pseudobulk_mbd567_rep3_VN3_CHGme.bed.gz(18MB), GSE275831_pseudobulk_mbd567_rep3_VN3_CHHme.bed.gz(84MB), GSE275831_pseudobulk_mbd567_rep3_VN3_CpGme.bed.gz(16MB), GSE275831_pseudobulk_mbd56_GN_CHGme.bed.gz(45MB), GSE275831_pseudobulk_mbd56_GN_CHHme.bed.gz(207MB), GSE275831_pseudobulk_mbd56_GN_CpGme.bed.gz(40MB), GSE275831_pseudobulk_mbd56_MN_CHGme.bed.gz(38MB), GSE275831_pseudobulk_mbd56_MN_CHHme.bed.gz(179MB), GSE275831_pseudobulk_mbd56_MN_CpGme.bed.gz(33MB), GSE275831_pseudobulk_mbd56_MNtoVN_CHGme.bed.gz(36MB), GSE275831_pseudobulk_mbd56_MNtoVN_CHHme.bed.gz(165MB), GSE275831_pseudobulk_mbd56_MNtoVN_CpGme.bed.gz(31MB), GSE275831_pseudobulk_mbd56_rep3_GN_CHGme.bed.gz(44MB), GSE275831_pseudobulk_mbd56_rep3_GN_CHHme.bed.gz(196MB), GSE275831_pseudobulk_mbd56_rep3_GN_CpGme.bed.gz(39MB), GSE275831_pseudobulk_mbd56_rep3_lateVN_CHGme.bed.gz(13MB), GSE275831_pseudobulk_mbd56_rep3_lateVN_CHHme.bed.gz(60MB), GSE275831_pseudobulk_mbd56_rep3_lateVN_CpGme.bed.gz(12MB), GSE275831_pseudobulk_mbd56_rep3_MN_CHGme.bed.gz(39MB), GSE275831_pseudobulk_mbd56_rep3_MN_CHHme.bed.gz(179MB), GSE275831_pseudobulk_mbd56_rep3_MN_CpGme.bed.gz(34MB), GSE275831_pseudobulk_mbd56_rep3_MNtoVN_CHGme.bed.gz(35MB), GSE275831_pseudobulk_mbd56_rep3_MNtoVN_CHHme.bed.gz(159MB), GSE275831_pseudobulk_mbd56_rep3_MNtoVN_CpGme.bed.gz(30MB), GSE275831_pseudobulk_mbd56_rep3_SN_CHGme.bed.gz(15MB), GSE275831_pseudobulk_mbd56_rep3_SN_CHHme.bed.gz(66MB), GSE275831_pseudobulk_mbd56_rep3_SN_CpGme.bed.gz(13MB), GSE275831_pseudobulk_mbd56_rep3_VN1_CHGme.bed.gz(31MB), GSE275831_pseudobulk_mbd56_rep3_VN1_CHHme.bed.gz(143MB), GSE275831_pseudobulk_mbd56_rep3_VN1_CpGme.bed.gz(27MB), GSE275831_pseudobulk_mbd56_rep3_VN1to2_CHGme.bed.gz(18MB), GSE275831_pseudobulk_mbd56_rep3_VN1to2_CHHme.bed.gz(84MB), GSE275831_pseudobulk_mbd56_rep3_VN1to2_CpGme.bed.gz(16MB), GSE275831_pseudobulk_mbd56_rep3_VN2_CHGme.bed.gz(33MB), GSE275831_pseudobulk_mbd56_rep3_VN2_CHHme.bed.gz(152MB), GSE275831_pseudobulk_mbd56_rep3_VN2_CpGme.bed.gz(29MB), GSE275831_pseudobulk_mbd56_rep3_VN3_CHGme.bed.gz(16MB), GSE275831_pseudobulk_mbd56_rep3_VN3_CHHme.bed.gz(72MB), GSE275831_pseudobulk_mbd56_rep3_VN3_CpGme.bed.gz(14MB), GSE275831_pseudobulk_mbd56_SN_CHGme.bed.gz(42MB), GSE275831_pseudobulk_mbd56_SN_CHHme.bed.gz(193MB), GSE275831_pseudobulk_mbd56_SN_CpGme.bed.gz(36MB), GSE275831_pseudobulk_mbd56_VN1_CHGme.bed.gz(31MB), GSE275831_pseudobulk_mbd56_VN1_CHHme.bed.gz(142MB), GSE275831_pseudobulk_mbd56_VN1_CpGme.bed.gz(27MB), GSE275831_pseudobulk_mbd56_VN1to2_CHGme.bed.gz(23MB), GSE275831_pseudobulk_mbd56_VN1to2_CHHme.bed.gz(103MB), GSE275831_pseudobulk_mbd56_VN1to2_CpGme.bed.gz(20MB), GSE275831_pseudobulk_mbd56_VN2_CHGme.bed.gz(28MB), GSE275831_pseudobulk_mbd56_VN2_CHHme.bed.gz(130MB), GSE275831_pseudobulk_mbd56_VN2_CpGme.bed.gz(25MB), GSE275831_pseudobulk_mbd56_VN3_CHGme.bed.gz(22MB), GSE275831_pseudobulk_mbd56_VN3_CHHme.bed.gz(99MB), GSE275831_pseudobulk_mbd56_VN3_CpGme.bed.gz(19MB), GSE275831_pseudobulk_mbd56_VN4_CHGme.bed.gz(26MB), GSE275831_pseudobulk_mbd56_VN4_CHHme.bed.gz(117MB), GSE275831_pseudobulk_mbd56_VN4_CpGme.bed.gz(22MB), GSE275831_pseudobulk_mbd56_VN5_CHGme.bed.gz(31MB), GSE275831_pseudobulk_mbd56_VN5_CHHme.bed.gz(144MB), GSE275831_pseudobulk_mbd56_VN5_CpGme.bed.gz(27MB), GSE275831_pseudobulk_mbd7_rep3_GN_CHGme.bed.gz(46MB), GSE275831_pseudobulk_mbd7_rep3_GN_CHHme.bed.gz(203MB), GSE275831_pseudobulk_mbd7_rep3_GN_CpGme.bed.gz(40MB), GSE275831_pseudobulk_mbd7_rep3_lateVN_CHGme.bed.gz(8MB), GSE275831_pseudobulk_mbd7_rep3_lateVN_CHHme.bed.gz(35MB), GSE275831_pseudobulk_mbd7_rep3_lateVN_CpGme.bed.gz(7MB), GSE275831_pseudobulk_mbd7_rep3_MN_CHGme.bed.gz(43MB), GSE275831_pseudobulk_mbd7_rep3_MN_CHHme.bed.gz(193MB), GSE275831_pseudobulk_mbd7_rep3_MN_CpGme.bed.gz(38MB), GSE275831_pseudobulk_mbd7_rep3_MNtoVN_CHGme.bed.gz(36MB), GSE275831_pseudobulk_mbd7_rep3_MNtoVN_CHHme.bed.gz(164MB), GSE275831_pseudobulk_mbd7_rep3_MNtoVN_CpGme.bed.gz(31MB), GSE275831_pseudobulk_mbd7_rep3_SN_CHGme.bed.gz(17MB), GSE275831_pseudobulk_mbd7_rep3_SN_CHHme.bed.gz(75MB), GSE275831_pseudobulk_mbd7_rep3_SN_CpGme.bed.gz(14MB), GSE275831_pseudobulk_mbd7_rep3_VN1_CHGme.bed.gz(31MB), GSE275831_pseudobulk_mbd7_rep3_VN1_CHHme.bed.gz(141MB), GSE275831_pseudobulk_mbd7_rep3_VN1_CpGme.bed.gz(26MB), GSE275831_pseudobulk_mbd7_rep3_VN1to2_CHGme.bed.gz(24MB), GSE275831_pseudobulk_mbd7_rep3_VN1to2_CHHme.bed.gz(112MB), GSE275831_pseudobulk_mbd7_rep3_VN1to2_CpGme.bed.gz(21MB), GSE275831_pseudobulk_mbd7_rep3_VN2_CHGme.bed.gz(32MB), GSE275831_pseudobulk_mbd7_rep3_VN2_CHHme.bed.gz(146MB), GSE275831_pseudobulk_mbd7_rep3_VN2_CpGme.bed.gz(27MB), GSE275831_pseudobulk_mbd7_rep3_VN3_CHGme.bed.gz(17MB), GSE275831_pseudobulk_mbd7_rep3_VN3_CHHme.bed.gz(76MB), GSE275831_pseudobulk_mbd7_rep3_VN3_CpGme.bed.gz(14MB)|epigenetics,drug_response,plant_biology|An antagonistic epigenetic mechanism regulating gene expression in pollen revealed through single-nucleus multiomics [snmCT-seq]|Arabidopsis MBD5 MBD6 MBD7 CG-specific methyl-readers opposite MBD5/6 repress methylated loci vegetative nuclei while prevents transgene silencing possibly promoting DNA demethylation loss rescues|multiomics
GSE281772|other_multiomics|Mus musculus|8|GSE281772_atac_fragments.tsv.gz(3.5GB), GSE281772_atac_fragments.tsv.gz.tbi.gz(1MB), GSE281772_barcodes.tsv.gz(8MB), GSE281772_features.tsv.gz(3MB), GSE281772_matrix.mtx.gz(740MB)|cardiovascular,epigenetics,aging,skeletal_muscle|Transcriptional profiling of aged and young mouse hearts [scMulti-ome]|Cardiac aging major risk factor cardiovascular diseases molecular poorly understood employed multi-omics approach combining single-nucleus RNA-seq ATAC-seq reduced representation bisulfite sequencing|multiomics
GSE272588|other_multiomics|Mus musculus|605|GSE272588_RA10.barcode.count.tsv.gz(12KB), GSE272588_RA11.barcode.count.tsv.gz(10KB), GSE272588_RA1.barcode.count.tsv.gz(17KB), GSE272588_RA2.barcode.count.tsv.gz(18KB), GSE272588_RA3.barcode.count.tsv.gz(16KB), GSE272588_RA4.barcode.count.tsv.gz(17KB), GSE272588_RA5.barcode.count.tsv.gz(11KB), GSE272588_RA6.barcode.count.tsv.gz(10KB), GSE272588_RA7.barcode.count.tsv.gz(10KB), GSE272588_RA8.barcode.count.tsv.gz(16KB), GSE272588_RA9.barcode.count.tsv.gz(12KB), GSE272588_RAW.tar(95MB), GSE272588_RCP3.barcode.count.tsv.gz(15KB), GSE272588_RCP4.barcode.count.tsv.gz(16KB), GSE272588_RE1.barcode.count.tsv.gz(7KB), GSE272588_RE2.barcode.count.tsv.gz(7KB), GSE272588_RE3.barcode.count.tsv.gz(8KB), GSE272588_RE4.barcode.count.tsv.gz(3KB), GSE272588_RE5.barcode.count.tsv.gz(3KB), GSE272588_TA1.barcode.count.tsv.gz(6KB), GSE272588_TA2.barcode.count.tsv.gz(5KB), GSE272588_TA3.barcode.count.tsv.gz(5KB), GSE272588_TA4.barcode.count.tsv.gz(6KB), GSE272588_TA5.barcode.count.tsv.gz(16KB), GSE272588_TA6.barcode.count.tsv.gz(12KB), GSE272588_TA7.barcode.count.tsv.gz(8KB), GSE272588_TA8.barcode.count.tsv.gz(6KB), GSE272588_TE1.barcode.count.tsv.gz(3KB), GSE272588_TE2.barcode.count.tsv.gz(4KB), GSE272588_TE3.barcode.count.tsv.gz(10KB), GSE272588_TE4.barcode.count.tsv.gz(11KB), GSE272588_TE5.barcode.count.tsv.gz(8KB)|development,hematopoiesis|Multipotent progenitors with distinct origins, clonal lineage fates, transcriptomes, and surface markers yield two hematopoietic trees|MPP quantitative source native hematopoiesis thought replenished slowly stem cells HSC recent mapping developmentally populations HSC-derived hMPP HSC-independent embryonic eMPP raise fundamental|multiomics
GSE293108|cite_seq|Mus musculus|3|GSE293108_RAW.tar(384MB)|development,hematopoiesis|SKIDA1 transiently sustains MLL::ENL-Expressing hematopoietic progenitors during neonatal stages and promotes B-lineage priming [scRNA-Seq]|assess changes transcriptional responses deletion context CITE-seq Tet-Off-ME mice|multiomics
GSE224722|other_multiomics|Gallus gallus|2|GSE224722_multiome_CellData.txt.gz(209KB)|development,epigenetics,signal_transduction|Spatial gradients of chromatin accessibility endow embryonic cells with positional information [Multiome]|patterning relies ability record process cues receive environment vertebrates orchestrated activation signal transduction patterns secreted ligands progenitors encode values within regulatory states|multiomics
GSE266608|cite_seq|Mus musculus|63|GSE266608_RAW.tar(1.9GB)|immunology,development,hematopoiesis|A unified workflow to define multipotent progenitor hierarchies (CITE-Seq and CellTag)|hematopoietic progenitors coherent developmental transcriptional programs defined ability give rise distinct lineages While identification multilineage aided single-cell technologies new techniques|multiomics
GSE266524|other_multiomics|Mus musculus|12|[GEO:H5]|immunology,development,hematopoiesis|A unified workflow to define multipotent progenitor hierarchies (TEA-Seq)|hematopoietic progenitors coherent developmental transcriptional programs defined ability give rise distinct cell lineages While identification multilineage aided single-cell technologies new|multiomics
GSE302846|cite_seq|Mus musculus|4|GSE302846_feature_reference_TotalB_Antibody.csv.gz(328B), GSE302846_filtered_feature_bc_matrix-AGGR-mapped.h5(82MB), GSE302846_seurat_obj.rds(482MB)|cancer,immunology,fibrosis_wound,skeletal_muscle,hematopoiesis,plant_biology,microbiology|Periostin promotes sarcoma growth by increasing tumor associated macrophages. [CITE-Seq]|Soft tissue sarcomas STS characterized abundant extracellular matrix ECM deposition functional contribution specific components poorly understood identify POSTN matricellular protein regulator|multiomics
GSE304399|other_multiomics|Mus musculus|42|GSE304399_atac_barcodes.tsv.gz(312KB), GSE304399_atac_matrix.mtx.gz(1.4GB), GSE304399_atac_peaks.tsv.gz(3MB), GSE304399_rna_barcodes.tsv.gz(312KB), GSE304399_rna_features.tsv.gz(202KB), GSE304399_rna_matrix.mtx.gz(365MB)|immunology,epigenetics,fibrosis_wound,aging,gene_regulation|The regulatory code of injury responsive enhancers enables precision cell state targeting in the CNS [multiome]|elements genome direct type-specific gene expression programs response cells undergo dynamic changes drive adaptation initiate tissue repair investigate injury-induced encoded within mammalian|multiomics
GSE291290|cite_seq|Homo sapiens|6|GSE291290_Ab_raw.csv.gz(5MB), GSE291290_Genes_raw.csv.gz(12MB), GSE291290_Metadata.csv.gz(432KB), GSE291290_Vdj_combined.csv.gz(3MB)|cardiovascular,hematopoiesis,plant_biology|Single cell multi-omic sequencing of human peripheral mononuclear cells (PBMCs) post heart transplantation|collected patients without graft dysfunction analyzed Rhapsody CITE-seq VDJ-seq groups include cardiac allograft CAV non-specific NGD normal HTx|multiomics
GSE286986|other_multiomics|Mus musculus|22|GSE286986_RAW.tar(3.9GB)|immunology,development,epigenetics,lung_respiratory,gene_regulation|Single-cell Multiomics Analysis Reveals CTCF as a Key Regulator of Lung Morphogenesis and Progenitor Maintenance|development generates complex tree-like architecture proximal-distal patterning branching regulatory programs governing embryonic poorly understood present comprehensive multi-omics atlas mouse lungs|multiomics
GSE299416|cite_seq|Homo sapiens|9|GSE299416_barcodes.csv.gz(325B), GSE299416_RAW.tar(4MB), GSE299416_sample1_feature_bc_matrix.h5(20MB), GSE299416_sample2_feature_bc_matrix.h5(16MB), GSE299416_sample3_feature_bc_matrix.h5(13MB)|cancer,immunology,infectious_disease|TCRs enable traceability of CAR-T cells but impair function in dual target cell contexts [car_post_infusion]|Chimeric antigen receptor powerful tools against cancer autoimmunity CARs typically introduced endogenous receptors enabling clonotype tracking expression virus-specific enhance efficacy functional|multiomics
